gene,log2FoldChange
SMU_1633c,-3.002689088
SMU_1634c,-3.068895081
SMU_1635,-3.807354922
SMU_1636c,-2.46149556
SMU_1637c,-3.045514659
SMU_1638c,-1.838456139
SMU_1639,-4.03562391
SMU_163c,-1.818536927
SMU_164,-2.993464309
SMU_1641c,-1.881465713
SMU_1642c,-1.551609413
SMU_1643c,-1.261697958
SMU_1644c,-1.13636208
SMU_1645,-1.657725085
SMU_1646c,-1.28116077
SMU_1647c,-1.695145418
SMU_1648c,-0.787169801
SMU_1649,-5.663739614
SMU_165,-4.622051819
SMU_1650,-1.771353376
SMU_1651,-3.45653027
SMU_1652,-2.447458977
SMU_1653,-8.25124569
SMU_1654c,-3.013406659
SMU_1655c,-0.595609745
SMU_1656,-5.697052313
SMU_1657c,-2.166736724
SMU_1658,-2.017011996
SMU_1659c,-4.29071411
SMU_166,-2.37452871
SMU_1660c,-4.936984283
SMU_1661c,-0.506784283
SMU_1662,-0.832890014
SMU_1663,-0.736965594
SMU_1664c,-2.389534982
SMU_1665,-4.345774837
SMU_1666,-3.966608446
SMU_1667,-4.653442239
SMU_1668,-5.085330779
SMU_1669,-4.213815588
SMU_167,-2.29812507
SMU_1670c,-2.060177482
SMU_1671c,0.570783566
SMU_1672,-10.18363538
SMU_1673,-2.091513363
SMU_1674,-1.430800508
SMU_1675,-3.304412824
SMU_1676c,-3.083768358
SMU_1677,-3.487265827
SMU_1678,-3.116093194
SMU_1679c,-0.71871389
SMU_168,-4.590416931
SMU_1680c,-2.066067374
SMU_1681c,-1.494621047
SMU_1682c,-4.805480074
SMU_1683c,-2.432156033
SMU_1685c,-3.336620768
SMU_1687,0
SMU_1688,-9.344650989
SMU_1689,-11.82694565
SMU_169,-1
SMU_1690,-10.08347933
SMU_1691,-11.56070434
SMU_1692,-2.040153497
SMU_1693,0.023980907
SMU_1694c,-1.57132634
SMU_1695,-2.52231016
SMU_1697c,-1.711278951
SMU_1699c,-1.563779876
SMU_170,-4.392317423
SMU_1700c,-1.846080977
SMU_1701c,-1.049753035
SMU_1702c,-0.972831304
SMU_1703c,-2.078002512
SMU_1704,-2.48133675
SMU_1705,-2.055509349
SMU_1706,-1.82859223
SMU_1707c,-2.451606642
SMU_1708,-3.871049597
SMU_1709,-3.495695163
SMU_1710c,-1.919443646
SMU_1711,-5.687728666
SMU_1712c,-6.694022976
SMU_1713c,-5.554588852
SMU_1714c,-2.517664111
SMU_1715c,-3.037277084
SMU_1716c,-1.40981979
SMU_1717c,-1.846787244
SMU_1718,-1.554588852
SMU_1719c,-2.526598338
SMU_172,0.034059164
SMU_1721c,-1.821929768
SMU_1722c,-2.443911613
